Month,30 Year,Year
1,,2006
2,4.54,2006
3,4.73,2006
4,5.06,2006
5,5.2,2006
6,5.15,2006
7,5.13,2006
8,5.0,2006
9,4.85,2006
10,4.85,2006
11,4.69,2006
12,4.68,2006
1,4.85,2007
2,4.82,2007
3,4.72,2007
4,4.87,2007
5,4.9,2007
6,5.2,2007
7,5.11,2007
8,4.93,2007
9,4.79,2007
10,4.77,2007
11,4.52,2007
12,4.53,2007
1,4.33,2008
2,4.52,2008
3,4.39,2008
4,4.44,2008
5,4.6,2008
6,4.69,2008
7,4.57,2008
8,4.5,2008
9,4.27,2008
10,4.17,2008
11,4.0,2008
12,2.87,2008
1,3.13,2009
2,3.59,2009
3,3.64,2009
4,3.76,2009
5,4.23,2009
6,4.52,2009
7,4.41,2009
8,4.37,2009
9,4.19,2009
10,4.19,2009
11,4.31,2009
12,4.49,2009
1,4.6,2010
2,4.62,2010
3,4.64,2010
4,4.69,2010
5,4.29,2010
6,4.13,2010
7,3.99,2010
8,3.8,2010
9,3.77,2010
10,3.87,2010
11,4.19,2010
12,4.42,2010
