Date,Average 30 Year Mortgage Rate,Average 30 Year Treasury Yield Curve Rate
"01, 2006",6.4,
"02, 2006",6.42,4.54
"03, 2006",6.47,4.73
"04, 2006",6.55,5.06
"05, 2006",6.65,5.2
"06, 2006",6.71,5.15
"07, 2006",6.83,5.13
"08, 2006",6.78,5.0
"09, 2006",6.63,4.85
"10, 2006",6.6,4.85
"11, 2006",6.48,4.69
"12, 2006",6.38,4.68
"01, 2007",6.36,4.85
"02, 2007",6.37,4.82
"03, 2007",6.31,4.72
"04, 2007",6.26,4.87
"05, 2007",6.36,4.9
"06, 2007",6.59,5.2
"07, 2007",6.77,5.11
"08, 2007",6.73,4.93
"09, 2007",6.56,4.79
"10, 2007",6.5,4.77
"11, 2007",6.36,4.52
"12, 2007",6.2,4.53
"01, 2008",5.98,4.33
"02, 2008",5.93,4.52
"03, 2008",6.1,4.39
"04, 2008",5.98,4.44
"05, 2008",6.07,4.6
"06, 2008",6.24,4.69
"07, 2008",6.42,4.57
"08, 2008",6.49,4.5
"09, 2008",6.16,4.27
"10, 2008",6.12,4.17
"11, 2008",6.17,4.0
"12, 2008",5.51,2.87
"01, 2009",5.09,3.13
"02, 2009",5.03,3.59
"03, 2009",5.05,3.64
"04, 2009",4.87,3.76
"05, 2009",4.88,4.23
"06, 2009",5.12,4.52
"07, 2009",5.31,4.41
"08, 2009",5.3,4.37
"09, 2009",5.23,4.19
"10, 2009",5.1,4.19
"11, 2009",5.09,4.31
"12, 2009",5.05,4.49
"01, 2010",5.1,4.6
"02, 2010",5.13,4.62
"03, 2010",5.09,4.64
"04, 2010",5.12,4.69
"05, 2010",5.12,4.29
"06, 2010",5.0,4.13
"07, 2010",4.84,3.99
"08, 2010",4.7,3.8
"09, 2010",4.58,3.77
"10, 2010",4.46,3.87
"11, 2010",4.38,4.19
"12, 2010",4.61,4.42
